Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Telling_Trite_Turf/,,3,"12,98,264",1,36,
Video_Terrible_Dirty_Chowder/,,3,"29,60,264",0,,
Video_Tested_Sour_Emery/,,1,149,1,149,
Video_Thankful_Weak_Suede/,,0,,0,,
Video_Thinkable_Smooth_Mix/,,0,,0,,
Video_Tight_Jazzy_Hello/,,0,,0,,
Video_Tiny_Silent_Context/,,1,43,0,,
Video_Tired_Dead_Theft/,,0,,0,,
Video_Tiresome_Addicted_Acorn/,,4,"68,120,154,215",0,,
Video_Torpid_Green_Plagiarism/,,4,"16,66,84,148",0,,
Video_Towering_Lively_Influx/,,0,,0,,
Video_Tricky_Difficult_Turnip/,,0,,0,,
Video_Tricky_Piquant_Census/,,11,"15,37,51,99,116,145,178,203,221,236,257",0,,
Video_Typical_Deadpan_Titanium/,,0,,0,,
Video_Ugly_Aware_Swanling/,,1,100,2,"69,100",
Video_Ugly_Didactic_Zinc/,,0,,0,,
Video_Ugly_Worried_Repayment/,,1,157,0,,
Video_Unable_Rapid_Hourglass/,,1,256,0,,
Video_Unbecoming_Wonderful_Trouble/,,1,119,0,,
Video_Unbiased_Deafening_Soybean/,,1,128,0,,
Video_Unbiased_Motionless_Licence/,,0,,0,,
Video_Understood_Damp_Pastry/,,1,145,0,,
Video_Understood_Optimal_Trouble/,,0,,0,,
Video_Unsightly_Plausible_Emery/,,0,,0,,
Video_Upset_Panoramic_Hundred/,,0,,0,,
Video_Uptight_Pleasant_Cycle/,,3,"100,231,243",0,,
Video_Uttermost_Auspicious_Carrot/,,1,137,0,,
Video_Vengeful_Abounding_Dungeon/,,2,"92,118",0,,
Video_Vengeful_Slow_Rostrum/,,2,"58,186",0,,
Video_Versed_Bewildered_Chauvinist/,,5,"63,121,154,165,214",0,,
Video_Vigorous_Animated_Dealing/,,2,"20,36",0,,Scrunch gait not counted
Video_Vivacious_Cool_Aardvark/,,0,,0,,
Video_Vivacious_Flowery_Sprout/,,6,"24,48,85,121,147,226",0,,
Video_Volatile_Dazzling_Wholesaler/,,2,"169,250",0,,
Video_Voracious_Quick_People/,,0,,0,,
Video_Voracious_Upset_Juice/,,0,,0,,
Video_Wakeful_Aggressive_Flume/,,1,246,1,28,
Video_Wandering_Creepy_Generation/,,0,,0,,
Video_Wandering_Furtive_Booster/,,0,,0,,
Video_Wandering_Obedient_Emery/,,1,246,3,"155,186,247",
Video_Wanting_Bumpy_Ridge/,,0,,0,,
Video_Wee_Efficient_Hardhat/,,1,241,0,,
Video_Wet_Crabby_Opinion/,,0,,0,,
Video_Whispering_Ugliest_Pennant/,,0,,0,,
Video_Wild_Nutritious_Cub/,,1,61,0,,
Video_Wistful_Colorful_Angiosperm/,,3,"88,111,272",0,,
Video_Wistful_Jagged_Fighter/,,0,,0,,
Video_Witty_Fluffy_Gorilla/,,0,,0,,
Video_Womanly_Merciful_Cub/,,1,11,0,,
Video_Wonderful_Devilish_Memo/,,2,"63,86",0,,
Video_Worried_Gainful_Cemetery/,,4,"17,105,192,232",1,18,
Video_Worthless_Jobless_Rug/,,5,"53,115,172,221,257",3,"66,241,254",
Video_Wretched_Loutish_Notepad/,,2,"53,92",1,92,
Video_Wrong_Eminent_Cancer/,,1,87,0,,
Video_Wry_Fancy_Banquette/,,1,98,0,,
Video_Yielding_Ill_Adoption/,,0,,0,,
Video_Zany_Boring_Shred/,,3,"50,62,174",1,62,
Video_Zany_Empty_Treasury/,,2,"168,214",0,,
Video_Zealous_Handsomely_Doll/,,3,"11,176,247",0,,
